mode,scope,group,metric,stock_days,codes,days,nxt_mean,krx_mean,delta_mean,delta_median,delta_q25,delta_q75,nxt_lower_pct,nxt_stock_median,krx_stock_median,cluster_se,ci95_low,ci95_high,p_value,cluster_df
main,common_minutes,ALL,es_bp,51889,644,84,37.38463643235464,23.752658195120844,13.631978237233797,8.777909402642884,3.719099162197537,17.852601548479612,5.573435602921621,33.01435195232902,21.72671615024052,0.6416987813161431,12.355665170208571,14.908291304259023,2.6051051755642577e-35,83
main,common_minutes,ALL,es_bp_v2,51889,644,84,36.61061957212936,25.425863704311364,11.184755867817989,6.510322419792892,1.552177419594333,15.58229387770253,15.646861569889573,31.41292918179066,22.806793821444053,0.6333783404212431,9.924991823086044,12.444519912549934,7.610669534047069e-30,83
main,common_minutes,ALL,rs15_bp,51889,644,84,18.5033492740441,0.4872994298577426,18.016049844186355,12.542684768677093,3.0101391720748194,26.547736488227123,16.383048430303145,16.051419763309895,0.10156854445623612,0.8625073647054066,16.30055738568243,19.73154230269028,8.50222731840376e-35,83
main,common_minutes,ALL,rs60_bp,51889,644,84,8.960009471025304,-2.4865244852646238,11.44653395628993,5.634687980734401,-3.143138785665818,20.224643015065666,34.28279596831699,4.822120691160633,-2.3594845767855737,0.8349505186872502,9.785850956184598,13.107216956395261,4.961192517862466e-23,83
main,common_minutes,ALL,rs300_bp,51889,644,84,-1.2307188290896007,-3.94970020767281,2.71898137858321,0.13984500539399392,-10.950624833958297,12.81479642993709,49.61552544855364,-3.1918722448036227,-3.186696469697865,0.6503053268898421,1.4255502385656524,4.012412518600767,7.151802126221408e-05,83
main,common_minutes,ALL,pi15_bp,51889,644,84,18.866376629015036,23.233260612509238,-4.366883983494198,-3.0616970363632863,-9.937126027504556,2.715847263713254,63.8227755400952,16.88865418121082,21.344436213172752,0.30698215484867186,-4.9774591427197095,-3.7563088242686855,5.712264289290645e-24,83
main,common_minutes,ALL,pi60_bp,51889,644,84,28.389233428358455,26.146759723599867,2.2424737047585817,2.971071532156145,-5.098061256180639,10.517824535024209,39.38599703212627,25.742436896026796,23.921228764004987,0.35897106412582297,1.5284946959656407,2.9564527135515224,1.7083798777440774e-08,83
main,common_minutes,ALL,pi300_bp,51889,644,84,38.61012123346268,27.555141553568095,11.054979679894581,9.498831448864063,-0.8469235416512273,21.778971662212413,26.78216963132841,34.858025843101586,24.829960312120228,0.4370894873587486,10.18562626920065,11.924333090588512,9.161110421134532e-41,83
main,common_minutes,ALL,quoted_spread_bp,51889,644,84,39.98777658943919,26.22460582130838,13.763170768130811,8.58122529778268,3.4615451405734987,17.800172871669208,3.5922835283007957,34.532308311754946,23.591465048386105,0.7567034874184811,12.25811796613717,15.268223570124452,1.0782063277814219e-30,83
main,common_minutes,ALL,depth_krw,51889,644,84,25318475.20463648,44972911.61984903,-19654436.415212553,-1044154.8320270716,-4374340.424896095,-18252.71305915166,75.58442059010581,3477613.41345763,4518642.66842252,6744495.602038326,-33068966.905235052,-6239905.925190056,0.004582731549817901,83
main,common_minutes,KOSDAQ,es_bp,23004,285,84,39.79005167911541,26.882721462053762,12.907330217061638,8.942467731484621,3.8829564072095044,17.50252652288514,6.6466701443227265,36.4217129868339,24.535622397240303,0.700972725906101,11.513123658234655,14.301536775888621,4.7458122505134585e-31,83
main,common_minutes,KOSDAQ,es_bp_v2,23004,285,84,39.29211194615727,28.97885329205297,10.313258654104303,6.537425364651016,1.5155280329890655,15.07385364918334,16.74491392801252,35.49201543591185,25.889540762000014,0.6956117359938093,8.929714888594793,11.696802419613812,4.803994870430106e-25,83
main,common_minutes,KOSDAQ,rs15_bp,23004,285,84,19.033197369924224,1.0421423130528178,17.99105505687141,13.423538671588421,4.130508401847815,26.708767643143,14.175795513823683,16.469139001568387,0.4714305664761999,0.9972756223859403,16.00751395419662,19.9745961595462,1.8563080001397974e-30,83
main,common_minutes,KOSDAQ,rs60_bp,23004,285,84,7.693559402629562,-2.692103713788763,10.385663116418325,5.792818755907653,-2.981881300951091,19.04586697084801,33.063814988697615,4.011978158478265,-2.9211505923895738,0.9647169181367983,8.466879966989698,12.304446265846952,2.0115881223818997e-17,83
main,common_minutes,KOSDAQ,rs300_bp,23004,285,84,-3.8492424448121767,-4.695513143880583,0.8462706990684071,-0.43859705734453636,-12.849355737846437,12.470538578307027,51.00417318727178,-5.1121106330747015,-4.083169340965018,0.7027335653216046,-0.5514380985353596,2.243979496672174,0.23191383655752618,83
main,common_minutes,KOSDAQ,pi15_bp,23004,285,84,20.747085353427348,25.80375923000594,-5.056673876578594,-3.8494205916886832,-10.795291295243409,1.930518094216711,67.41436271952705,18.91892409404479,23.22114289554722,0.4240674572973692,-5.900126993224209,-4.2132207599329785,1.119929829393756e-19,83
main,common_minutes,KOSDAQ,pi60_bp,23004,285,84,32.06116565871126,29.47062685789022,2.5905388008210446,2.9681420221145327,-5.099365663470785,11.040037085797286,39.80612067466527,29.22656400627155,26.793559675180443,0.47907163132188846,1.637684594298905,3.5433930073431843,6.029644383985288e-07,83
main,common_minutes,KOSDAQ,pi300_bp,23004,285,84,43.63771513683818,31.408024378539036,12.229690758299142,10.440916932004463,-1.0329818005564886,24.25574160914205,27.160493827160494,40.939587765092725,28.5951393666779,0.556866427644798,11.122105830783816,13.337275685814468,2.4914350965422682e-36,83
main,common_minutes,KOSDAQ,quoted_spread_bp,23004,285,84,42.83054030860706,30.183563735659423,12.646976572947644,8.332883315795266,3.3386665308066323,16.816498214344346,5.633802816901409,38.82864189966566,27.756587559691884,0.8483641308087679,10.959614437825744,14.334338708069543,3.4485913608123844e-25,83
main,common_minutes,KOSDAQ,depth_krw,23004,285,84,6122818.389917943,11594191.916396175,-5471373.52647823,-482116.4315388504,-1749810.3382132195,166978.03257977875,67.9925230394714,2770349.255959226,3401904.491588277,3731202.9106316417,-12892586.047397066,1949838.9944406059,0.14632252312692454,83
main,common_minutes,KOSPI,es_bp,28885,359,84,35.46896489569254,21.259877326416497,14.209087569276042,8.657622837321142,3.6188279869565534,18.148981616831946,4.7187121343257745,30.35664131086913,19.97492884702087,0.8086516638668536,12.600711933673145,15.817463204878939,1.0549155356644891e-29,83
main,common_minutes,KOSPI,es_bp_v2,28885,359,84,34.475080345120936,22.596264518699183,11.878815826421754,6.479484187434728,1.5772211741519229,15.941890312642302,14.772373204085165,29.020883524020363,20.773593274722572,0.7934873571080069,10.300601387056442,13.457030265787065,2.6700842938855543e-25,83
main,common_minutes,KOSPI,rs15_bp,28885,359,84,18.08137850729228,0.04542282660278292,18.035955680689494,11.784807496670137,2.2006014627954453,26.401601435173248,18.14090358317466,15.080921259472689,-0.31533405757114336,1.1029586945605034,15.84221519801415,20.229696163364835,1.0980022810457514e-27,83
main,common_minutes,KOSPI,rs60_bp,28885,359,84,9.968609691671857,-2.3228012873082693,12.291410978980128,5.490000122180927,-3.2545212824553165,21.19997863020739,35.253591829669375,5.3435763710296085,-1.8539062522190313,1.1038224785161297,10.095952464758284,14.486869493201972,3.787910080982658e-18,83
main,common_minutes,KOSPI,rs300_bp,28885,359,84,0.854672109324183,-3.355735146758024,4.210407256082207,0.5505080366376243,-9.652891468659739,13.092710636570597,48.50960706248918,-1.8193221289563053,-2.2552682740798007,0.8906038214842495,2.4390320750797345,5.9817824370846795,9.180821246245508e-06,83
main,common_minutes,KOSPI,pi15_bp,28885,359,84,17.368581112436164,21.186116759405746,-3.8175356469695845,-2.3943361361418045,-9.28392609069225,3.2155381568046195,60.962437251168424,15.261759301037475,19.390496993078724,0.4092406068019818,-4.6314987543132045,-3.0035725396259645,1.4387932444763166e-14,83
main,common_minutes,KOSPI,pi60_bp,28885,359,84,25.4649083798199,23.49963354886506,1.9652748309548471,2.9718597504345112,-5.096295224787305,10.165721944107467,39.051410766833996,22.594240759059673,21.53273384996724,0.48605882174627074,0.9985233837021861,2.932026278207508,0.00011738223711568983,83
main,common_minutes,KOSPI,pi300_bp,28885,359,84,34.6061478855918,24.48670753917891,10.119440346412896,8.82244695058229,-0.6584563567129464,19.924298444717707,26.480872425134155,30.585045002978347,22.044385434472332,0.5000583310628319,9.124844438187408,11.114036254638384,7.698526786631387e-34,83
main,common_minutes,KOSPI,quoted_spread_bp,28885,359,84,37.72380094132641,23.071693657149428,14.65210728417698,8.80742122264288,3.5577116594231732,18.672117804084742,1.9664185563441232,31.303497491572884,21.18117287916862,0.9439511548475,12.774626402735406,16.529588165618556,2.8928729562117867e-26,83
main,common_minutes,KOSPI,depth_krw,28885,359,84,40605886.98811528,71555707.81366001,-30949820.825544707,-1961818.726864351,-9388761.625516202,-303712.4735742989,81.63060411978536,4476766.937259715,6313268.729223386,11669987.67383412,-54160956.94394068,-7738684.707148738,0.00958141522016727,83
main,common_minutes,1_low,es_bp,17672,215,84,51.774063313921076,30.026706926790723,21.747356387130353,15.936143383281669,7.121576909763894,29.46320088203222,8.363512901765505,45.36783554832965,27.117439553835805,1.1619220558604337,19.436340150325513,24.058372623935192,1.5865068309171958e-31,83
main,common_minutes,1_low,es_bp_v2,17672,215,84,51.362889927118175,32.61528638277176,18.74760354434642,13.367019268211836,4.27830524532803,26.82782284354236,14.559755545495701,44.31130739656362,28.75523667428475,1.1572578179250341,16.445864289200255,21.04934279949258,1.9879257821576802e-27,83
main,common_minutes,1_low,rs15_bp,17672,215,84,34.530506697118355,1.8987443162590734,32.631762380859286,26.451012836404683,13.887646006731938,44.45477287748249,6.4339067451335445,29.42499515097029,2.2165232953341025,1.4100520833015555,29.827225499220294,35.43629926249828,5.900543089226779e-38,83
main,common_minutes,1_low,rs60_bp,17672,215,84,25.650114968958498,-2.082861044420179,27.73297601337868,21.66450480350229,8.34394345738442,40.3904018910486,12.624490719782708,21.54708980887117,-1.7260876032299715,1.4352893244265164,24.878243274179557,30.5877087525778,1.838648143731328e-32,83
